3.4 Aquatic Ecosystems ,,,,,,,Workshop participants:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAS herbivores (specify):,rabbits,,,,,,,,,xii) Control access,"Limestone rock barriers. Continue access management.
Fencing around TEC’s  Police have been targeting for uanauthorised access",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (rainfall seasonality/patterning),reduced rainfall,,,,,,,,,xi) Ground water extraction control,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (household),"nutrients, TN TP, salinity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.737086605, -32.3725729166",6067,,Basin,,Palustrine,Sumpland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.73269393, -32.3704747113",6069,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.733816951, -32.3709504604",6073,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.733802367, -32.3714546997",6075,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.734944568, -32.371853599",6076,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.734351823, -32.3721241116",6079,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.736345242, -32.3730979734",6080,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.734125584, -32.3697303539",6088,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Port Kennedy Drive,"115.752664778, -32.3759256493",6270,,Basin,,Palustrine,Dampland,4,,,,,,,,,,,,,,,,,,,,,,,Multiple Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.755400511, -32.3760428469",6271,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.753547593, -32.3772447572",6273,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.754185675, -32.3788038162",6276,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.754719764, -32.3795376144",6278,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.754048285, -32.3799067141",6279,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.755273771, -32.3807264831",6280,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.75395001, -32.3781922482",6302,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.753684934, -32.3887288412",6352,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Surf Road,"115.752123249, -32.3921524336",6353,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.754902879, -32.3930198158",6354,,Basin,,Palustrine,Dampland,6,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Surf Road,"115.75684953, -32.3932914457",6355,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.755682068, -32.3942225395",6356,,Basin,,Palustrine,Dampland,6,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Cooloongup,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.716030039, -32.3704266496",13015,,Basin,,Palustrine,Sumpland,8,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Cooloongup,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.718074612, -32.3721899474",13016,,Basin,,Palustrine,Sumpland,7,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.732704566, -32.369237624",13018,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.732704866, -32.369596157",13019,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.731772437, -32.3697301322",13020,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.735860517, -32.3737254632",13021,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.736311952, -32.3739589424",13022,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.736594035, -32.3741371768",13023,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.736987157, -32.3742941978",13024,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.737223443, -32.3740523766",13025,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.737358596, -32.3743178715",13026,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.73716076, -32.3746977848",13027,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.737698626, -32.3746218479",13028,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.739060968, -32.3757670807",13029,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.740039943, -32.375472313",13030,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.740619087, -32.3756381647",13031,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.740415962, -32.3759357713",13032,,Basin,,Palustrine,Dampland,4,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.740888606, -32.3763211463",13033,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.741104808, -32.3761016807",13034,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.740583793, -32.3771608394",13035,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.741960631, -32.3770048057",13036,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.741953599, -32.3773339155",13037,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.74117956, -32.377793263",13038,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.741755495, -32.3786290317",13039,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.742206385, -32.3786146486",13040,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.742590728, -32.3789819414",13041,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.743074958, -32.3793603201",13042,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.74335012, -32.3796367446",13043,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.743138589, -32.3798308091",13044,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.743557193, -32.3802607158",13045,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.744076023, -32.3805270636",13046,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.744758303, -32.3808981503",13047,,Basin,,Palustrine,Dampland,4,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.744217247, -32.3810437276",13048,,Basin,,Palustrine,Dampland,4,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Peelhurst Wetland,"115.745065618, -32.3805620619",13049,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.748897048, -32.3832270519",13050,,Basin,,Palustrine,Dampland,4,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.751174171, -32.3888262407",13051,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.751344002, -32.3910170612",13052,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.737040406, -32.3851434618",13053,,Basin,,Palustrine,Dampland,7,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,Becher,Becher Point Wetlands (Ramsar WA054) (DIWA WA071),Point Becher Wetland,"115.738078273, -32.3855790608",13054,,Basin,,Palustrine,Dampland,5,,,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,,Forrestdale & Thomsons Lake (WA035) whole site overview,,,,,Basin,Surface water,Lacustrine,"Ramsar typology classifies as inland type P wetland - described as seasonal/intermittant freshwater lakes > 8Ha. ECD describes as brackish, seasonal lakes with extensive fringing sedgeland, occuring between dunal systems, dominant natural water source is groundwater, weakly coloured to clear and neutral to slightly alkaline pH
Ramsar Criteria 1-representative, rare or unique example of a natural or near-natural wetland type found within the appropriate biogeographic region, Criteria 3 - supports populations of plant and/or animal species important for maintaining the biological diversity of a particular biogeographic region

",,,,,,,Porous - Sand,Seasonally inundated,Bare (no emergent Vegetation),Brackish (3000-5000 mg/L),Ground water,Soil is sand over pyritic peaty sediment. Water regime is tending towards longer dry periods and lower max depths. Vegetation is open water sorrounded by sedgelands with flooded gum moving into Tuart moving up the gradient. Salinity ranges from fresh to brackish in spring to saline as it dries out in summer.,,,,,,,Fair ,Fair ,Quantitative analysis of data published or publically available following peer review,Decreasing,Quantitative analysis of data published or publically available following peer review,Conservation 99.84% Resource Enhancement 0.06% Multiple Use 0.1%,Climate change (rainfall seasonality/patterning),Drying climate and water abstraction have lead to reduced periods of inundation and removal of suitable conditions/habitat for resident and migratory waterbirds and has lead to terrestrialisation of fringing areas and weed encroachment across the ecosystem. Other threats include predation of waterbirds and quenda from cats and foxes,Climate change (long-term reduced rainfall),Drying climate and water abstraction is leading to reduced periods of inundation and removal of suitable conditions/habitat for resident and migratory waterbirds and is also leading to terrestrialisation of fringing areas and weed encroachment across the ecosystem. Other threats include predation of waterbirds and quenda from cats and foxes and dieback in the banksia woodlands surrounding the lake,"A summary of the major threats includes: • Maximum water depths at both lakes are substantially lower, the period of inundation substantially less, and annual drying is occurring earlier than at any time in the past; • The introduced Bulrush Typha orientalis now covers expansive areas of the waters edge and is encroaching across the dry lake beds at both lakes; • The number of waterbirds and number of species recorded at Forrestdale and Thomsons Lakes have been variable, but overall have declined in recent years; • Total phosphorus levels have declined and subsequently associated blue-green algal blooms (cyanobacteria) and midge swarms have also declined",BS i) Regional vegetation mapping,Aquatic and littoral ecosystem mapping,iv) Monitoring and evaluation and reporting plan. Annual waterbird monitoring combined with water quality and aquatic macroinvertebrate survey ,Review of management plan (2005). Regional Water Management Plan requires updating to prioritise surface water drainage for supplementation for Forrestdale,Urban groundwater use requires careful licencing regulation and all land development proposals should be encoraged to assess surface water drainage options for Forrestdale Lake,xi) Ground water abstraction licence regulation to assess cumulative levels,,x) Regulation - Native vegetation clearing (DEC/DMP). Licencing of private bores impacting on catchment of Forrestdale and Thomsons Lakes,Enforce protection of Environmentally Sensitive Areas through clearing regulation. License private bore usage in areas impacting on catchment of Forrestdale and Thomsons Lakes,,,Evaluation linked to Ramsar rolling review,,,,,,,,,,,,,,,,,,
