SCALE,DPAWREGION,COMMUNITYNAME,COMMUNITYID,DESC,KNOWNOCC_NUM,KNOWNOCC_CAT,KNOWNOCC_NUMRELIAB,KNOWNOCC_TREND,KNOWNOCC_TRENDRELIAB,KNOWNOCC_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,DEGABIOTIC_EXTENTCAT,DEGABIOTIC_EXTENTTREND,DEGABIOTIC_SEVERITYCAT,DEGABIOTIC_SEVERITYTREND,DEGABIOTIC_RELIAB,DEGABIOTIC_NOTES,DEGBIOTIC_EXTENTCAT,DEGBIOTIC_EXTENTTREND,DEGBIOTIC_SEVERITYCAT,DEGBIOTIC_SEVERITYTREND,DEGBIOTIC_RELIAB,DEGBIOTIC_NOTES,BIOTICCOMP,ABIOTICCOMP,WETLAND,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTINGREASON,ENDEMISM,TENURE,MOSTRECENTSURVEY_COND,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,TT_LAST_UPDATED,TT_CHANGECONSSTATUS
GES02,Midwest,Clay flats assemblages of the Irwin River,Irwin River Clay Flats,Sedgelands and grasslands with patches of Eucalyptus loxophleba and scattered E. camaldulensis over Acacia acuminata and A. rosellifera shrubland on brown sand/loam over clay flats of the Irwin River.,0,No known extant occurrences (potential ecosystem collapse),Quantitative analysis of data published or publically available following peer review,Static (no change),Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed,N/A,N/A,-,N/A,,0,N/A,-,N/A,S&C: presumed destroyed,Status presumed destroyed,N/A,Status presumed destroyed,N/A,Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed before last 10 years,Status presumed destroyed,N/A,Status presumed destroyed,N/A,Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed before last 10 years,N/A,N/A,N/A,,Presumed Destroyed,,,,,N/A,,"JM: no spatial or tenure info for this community, therefore I allocated it to GES02 (location of Irwin River/Dongara). Please update if this is incorrect. ",No known past pressures,presumed destroyed prior to 2002,No known future threats,presumed destroyed,N/A,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,,,,,,,,,,,,"Keith Claymore: NO MANAGEMENT ACTIONS, NEED FOR NEW CLASSIFICATION SYSTEM AND DEFINITION OF TECS TO EXCLUDE PD  SHOULD BE PICKED UP IN AN OVERARCHING DOCUMENT FOR THE AUDIT & RECOMMENDATIONS.",,,,,
GES02,Midwest,Clay flats assemblages of the Irwin River,Irwin River Clay Flats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This community is presumed destroyed 'PD B)'. It was endorsed by the Minister for the Environment in [date].,,,,,,,,,,,,,,,,,,,,,"Keith Claymore: THE TEC IS LISTED AS A PD; HOWEVER; THE CLASSIFICATION SYSTEM NEEDS TO BE CHANGED SO THAT PDS FALL OUTSIDE OF THE ""THREATENED CATEGORIES""",,,,,
GES02,Midwest,Clay flats assemblages of the Irwin River,Irwin River Clay Flats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Wheatbelt,Plant assemblages of the Broomehill System,Broomehill,Plant assemblages of the Broomehill System,0,No known extant occurrences (potential ecosystem collapse),Quantitative analysis of data published or publically available following peer review,Static (no change),Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed,N/A,N/A,-,N/A,,0,N/A,-,N/A,S&C: presumed destroyed,Status presumed destroyed,N/A,Status presumed destroyed,N/A,Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed before last 10 years,Status presumed destroyed,N/A,Status presumed destroyed,N/A,Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed before last 10 years,N/A,N/A,N/A,None,Presumed Destroyed,,,,,N/A,,"JM: no spatial or tenure info for this community, therefore I allocated it to AVW02 (location of Broomehill town site). Please update if this is incorrect. ",No known past pressures,presumed destroyed prior to 2002,No known future threats,presumed destroyed,N/A,,,"Presumed destroyed, no management required, new listing process required",SC iii) Determination/re-evaluation of conservation status/formal classification,,,,,,,,,,,,"Keith Claymore: NO MANAGEMENT ACTIONS, NEED FOR NEW CLASSIFICATION SYSTEM AND DEFINITION OF TECS TO EXCLUDE PD  SHOULD BE PICKED UP IN AN OVERARCHING DOCUMENT FOR THE AUDIT & RECOMMENDATIONS.",,,,,
Western Australia,Wheatbelt,Plant assemblages of the Broomehill System,Broomehill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This community is presumed destroyed 'PD B)'. It was endorsed by the Minister for the Environment in [date].,,,,,,,,,,,,,,,,,,,,,"Keith Claymore: THE TEC IS LISTED AS A PD; HOWEVER; THE CLASSIFICATION SYSTEM NEEDS TO BE CHANGED SO THAT PDS FALL OUTSIDE OF THE ""THREATENED CATEGORIES""",,,,,
Western Australia,Wheatbelt,Plant assemblages of the Broomehill System,Broomehill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Plant assemblages of the Broomehill System,Broomehill,Plant assemblages of the Broomehill System,0,No known extant occurrences (potential ecosystem collapse),Quantitative analysis of data published or publically available following peer review,Static (no change),Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed,N/A,N/A,-,N/A,,0,N/A,-,N/A,S&C: presumed destroyed,Status presumed destroyed,N/A,Status presumed destroyed,N/A,Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed before last 10 years,Status presumed destroyed,N/A,Status presumed destroyed,N/A,Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed before last 10 years,N/A,N/A,N/A,None,Presumed Destroyed,,,,,N/A,,"JM: no spatial or tenure info for this community, therefore I allocated it to AVW02 (location of Broomehill town site). Please update if this is incorrect. ",No known past pressures,presumed destroyed prior to 2002,No known future threats,presumed destroyed,N/A,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,,,,,,,,,,,,"Keith Claymore: NO MANAGEMENT ACTIONS, NEED FOR NEW CLASSIFICATION SYSTEM AND DEFINITION OF TECS TO EXCLUDE PD  SHOULD BE PICKED UP IN AN OVERARCHING DOCUMENT FOR THE AUDIT & RECOMMENDATIONS.",,,,,
AVW02,Wheatbelt,Plant assemblages of the Broomehill System,Broomehill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This community is presumed destroyed 'PD B)'. It was endorsed by the Minister for the Environment in [date].,,,,,,,,,,,,,,,,,,,,,"Keith Claymore: THE TEC IS LISTED AS A PD; HOWEVER; THE CLASSIFICATION SYSTEM NEEDS TO BE CHANGED SO THAT PDS FALL OUTSIDE OF THE ""THREATENED CATEGORIES""",,,,,
AVW02,Wheatbelt,Plant assemblages of the Broomehill System,Broomehill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Plant assemblages of the Broomehill System,Broomehill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Plant assemblages of the Billeranga System,Billeranga System,Melaleuca filifolia � Allocasuarina campestris thicket on clay sands over laterite on slopes and ridges; open mallee over mixed scrub on yellow sand over gravel on western slopes; Eucalyptus loxophleba woodland over sandy clay loam or rocky clay on lower slopes and creeklines; and mixed scrub or scrub dominated by Dodonaea inaequifolia over red/brown loamy soils on the slopes and ridges Melaleuca filifolia � Allocasuarina campestris thicket on clay sands over laterite on slopes and ridges; open mallee over mixed scrub on yellow sand over gravel on western slopes; Eucalyptus loxophleba woodland over sandy clay loam or rocky clay on lower slopes and creeklines; and mixed scrub or scrub dominated by Dodonaea inaequifolia over red/brown loamy soils on the slopes and ridges,6,Less than or equal to 10 (potentially meets location criteria VU),Quantitative unpublished data and expert opinion,Static (no change),Quantitative unpublished data and expert opinion,Geraldton Dist: one range of hills,9349,"< 10,000ha (potentially meets extent of occurrence criteria for CR) ",Minimum convex polygon of records in DPaW corporate database,Static (no change),Geraldton Dist,2461,"< 10,000ha (potentially meets area of occupancy criteria for CR) ",Sum of mapped polygons,Static (no change),Geraldton Dist,< 5% area subject to pressures/threats,Static,Very high severity,Static,Expert opinion,Geraldton Dist, < 5% area subject to pressures/threats,Static,Very high severity,Static,Expert opinion,Geraldton Dist,Vascular plants,,,None,Vulnerable,2001,"VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in AOO, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified ",AVW01,"DEC managed land - reserves IUCN I-IV, Other crown reserves, Freehold land, Other public lands - roads and water bodies, DEC managed land - reserves IUCN I-IV, Other crown reserves, Freehold land, Other public lands - roads and water bodies",2008,,Geraldton Dist: soil erosion issues but some areas still have deep soil,Invasive/introduced herbivores (specify):,"grazing by rabbits, goats",Invasive/introduced herbivores (specify):,"grazing by rabbits, goats",2000,,,,IN vii) Small-scale survey of taxa,inventory of vertebrate and invertebrate fauna,EV iv) Develop/implement monitoring and evaluation and reporting plan,compare to 2008 quadrat survey  ,,,MD iv) Herbivore/omnivore control or eradication ,goat and rabbit control where approprate,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),encourage voluntary conservation coventants where appropriate,MI xiii) Education and awareness (specify),notification process for landholders (ecological communities),Notes from workshop: new IRP is low priority compared to other actions,,,,,
Western Australia,Midwest,Plant assemblages of the Billeranga System,Billeranga System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erosion,,Erosion,,,,,,,,EV viii) Determine current condition (degree of biotic/abiotic degradation) of TECs/PECs and wetlands,"condition mapping of quadrats, additional quadrats if possible to determine condition",,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
Western Australia,Midwest,Plant assemblages of the Billeranga System,Billeranga System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),"clearing for tracks, fences and farm equipment movements; maintenance, grazing by stock",Livestock farming (specify),"clearing for tracks, fences and farm equipment movements; maintenance, grazing by stock",,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
Western Australia,Midwest,Plant assemblages of the Billeranga System,Billeranga System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp):,,Weeds (specify dominant spp):,,,,,,,,,,,,,,MI xiv) Capacity building (specify),"provision of relevant information and advice for landholders (eg. grant applications, management)",,,,,,,,
Western Australia,Midwest,Plant assemblages of the Billeranga System,Billeranga System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),liaison with private landholders,,,,,,,,
Western Australia,Midwest,Plant assemblages of the Billeranga System,Billeranga System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xiv) Capacity building (specify),support NRM organisations,,,,,,,,
